driver_number,date,meeting_key,position,session_key
10,2024-05-19 12:07:43.950000+00:00,1235,15,9515
11,2024-05-19 12:07:43.950000+00:00,1235,11,9515
14,2024-05-19 12:07:43.950000+00:00,1235,20,9515
16,2024-05-19 12:07:43.950000+00:00,1235,3,9515
18,2024-05-19 12:07:43.950000+00:00,1235,13,9515
20,2024-05-19 12:07:43.950000+00:00,1235,18,9515
22,2024-05-19 12:07:43.950000+00:00,1235,7,9515
23,2024-05-19 12:07:43.950000+00:00,1235,14,9515
24,2024-05-19 12:07:43.950000+00:00,1235,17,9515
27,2024-05-19 12:07:43.950000+00:00,1235,10,9515
31,2024-05-19 12:07:43.950000+00:00,1235,12,9515
44,2024-05-19 12:07:43.950000+00:00,1235,8,9515
55,2024-05-19 12:07:43.950000+00:00,1235,4,9515
63,2024-05-19 12:07:43.950000+00:00,1235,6,9515
77,2024-05-19 12:07:43.950000+00:00,1235,16,9515
81,2024-05-19 12:07:43.950000+00:00,1235,5,9515
1,2024-05-26 12:08:08.494000+00:00,1236,6,9523
2,2024-05-26 12:08:08.494000+00:00,1236,15,9523
3,2024-05-26 12:08:08.494000+00:00,1236,12,9523
4,2024-05-26 12:08:08.494000+00:00,1236,4,9523
10,2024-05-26 12:08:08.494000+00:00,1236,10,9523
11,2024-05-26 12:08:08.494000+00:00,1236,16,9523
14,2024-05-26 12:08:08.494000+00:00,1236,14,9523
16,2024-05-26 12:08:08.494000+00:00,1236,1,9523
18,2024-05-26 12:08:08.494000+00:00,1236,13,9523
20,2024-05-26 12:08:08.494000+00:00,1236,20,9523
22,2024-05-26 12:08:08.494000+00:00,1236,8,9523
23,2024-05-26 12:08:08.494000+00:00,1236,9,9523
24,2024-05-26 12:08:08.494000+00:00,1236,18,9523
27,2024-05-26 12:08:08.494000+00:00,1236,19,9523
31,2024-05-26 12:08:08.494000+00:00,1236,11,9523
44,2024-05-26 12:08:08.494000+00:00,1236,7,9523
55,2024-05-26 12:08:08.494000+00:00,1236,3,9523
63,2024-05-26 12:08:08.494000+00:00,1236,5,9523
77,2024-05-26 12:08:08.494000+00:00,1236,17,9523
81,2024-05-26 12:08:08.494000+00:00,1236,2,9523
1,2024-06-09 17:59:09.380000+00:00,1237,2,9531
2,2024-06-09 17:59:09.380000+00:00,1237,13,9531
3,2024-06-09 17:59:09.380000+00:00,1237,5,9531
4,2024-06-09 17:59:09.380000+00:00,1237,3,9531
10,2024-06-09 17:59:09.380000+00:00,1237,15,9531
11,2024-06-09 17:59:09.380000+00:00,1237,16,9531
14,2024-06-09 17:59:09.380000+00:00,1237,6,9531
16,2024-06-09 17:59:09.380000+00:00,1237,11,9531
18,2024-06-09 17:59:09.380000+00:00,1237,9,9531
20,2024-06-09 17:59:09.380000+00:00,1237,14,9531
22,2024-06-09 17:59:09.380000+00:00,1237,8,9531
23,2024-06-09 17:59:09.380000+00:00,1237,10,9531
24,2024-06-09 17:59:09.380000+00:00,1237,20,9531
27,2024-06-09 17:59:09.380000+00:00,1237,17,9531
31,2024-06-09 17:59:09.380000+00:00,1237,18,9531
44,2024-06-09 17:59:09.380000+00:00,1237,7,9531
55,2024-06-09 17:59:09.380000+00:00,1237,12,9531
63,2024-06-09 17:59:09.380000+00:00,1237,1,9531
77,2024-06-09 17:59:09.380000+00:00,1237,19,9531
81,2024-06-09 17:59:09.380000+00:00,1237,4,9531
1,2024-06-23 12:06:26.037000+00:00,1238,2,9539
2,2024-06-23 12:06:26.037000+00:00,1238,19,9539
3,2024-06-23 12:06:26.037000+00:00,1238,18,9539
4,2024-06-23 12:06:26.037000+00:00,1238,1,9539
10,2024-06-23 12:06:26.037000+00:00,1238,7,9539
